Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
221,Jalen Johnson,SF,21,ATL,20,0,13.3,1.8,3.8,.474,0.3,1.3,.192,1.6,2.5,.620,.507,0.5,0.8,.667,0.5,2.4,2.9,0.7,0.7,0.3,0.5,1.5,4.4,johnsja05
222,James Johnson,PF,35,IND,6,0,9.7,1.0,2.5,.400,0.2,1.2,.143,0.8,1.3,.625,.433,0.0,0.0,,0.0,1.3,1.3,0.8,0.2,0.3,0.2,2.3,2.2,johnsja01
223,Keldon Johnson,SF,23,SAS,20,20,32.1,7.0,17.7,.393,3.1,8.6,.360,3.9,9.1,.423,.480,3.3,4.5,.742,1.0,4.1,5.1,3.2,1.0,0.1,2.4,1.8,20.3,johnske04
224,Keon Johnson,SG,20,POR,6,0,17.7,2.7,7.5,.356,1.3,3.8,.348,1.3,3.7,.364,.444,0.3,1.0,.333,0.5,2.0,2.5,1.7,0.8,0.3,2.2,1.7,7.0,johnske07
225,Nikola Jokić,C,27,DEN,18,18,31.7,8.4,13.3,.629,0.7,2.1,.324,7.7,11.3,.685,.654,5.2,6.2,.847,1.9,7.9,9.8,8.9,1.3,0.6,3.3,2.9,22.7,jokicni01
226,Damian Jones,C,27,LAL,11,1,7.5,0.9,1.9,.476,0.0,0.1,.000,0.9,1.8,.500,.476,0.6,0.9,.700,0.8,1.5,2.4,0.3,0.1,0.5,0.5,0.9,2.5,jonesda03
227,Derrick Jones Jr.,SF,25,CHI,16,0,12.7,1.4,3.4,.418,0.2,1.0,.188,1.3,2.4,.513,.445,1.8,2.1,.848,0.9,1.4,2.3,0.5,0.4,0.8,0.2,1.2,4.8,jonesde02
228,Herbert Jones,SF,24,NOP,17,17,28.2,3.7,8.4,.444,0.8,2.9,.286,2.9,5.5,.527,.493,2.4,3.2,.741,1.2,2.5,3.7,2.1,1.2,0.8,1.2,3.3,10.6,joneshe01
229,Kai Jones,C,22,CHO,12,0,8.4,1.3,2.6,.516,0.2,0.6,.286,1.2,2.0,.583,.548,0.4,0.7,.625,0.8,1.3,2.0,0.2,0.2,0.6,0.2,0.7,3.3,joneska01
230,Tre Jones,PG,23,SAS,21,21,30.1,4.6,11.0,.417,0.8,2.5,.321,3.8,8.4,.446,.454,2.4,2.6,.909,0.7,2.7,3.4,7.0,1.5,0.1,2.1,2.0,12.3,jonestr01
231,Tyus Jones,PG,26,MEM,21,3,23.9,4.0,9.1,.443,1.4,3.9,.370,2.6,5.3,.495,.521,0.7,1.0,.636,0.4,1.6,2.0,4.2,0.6,0.1,1.0,0.5,10.2,jonesty01
232,DeAndre Jordan,C,34,DEN,17,3,16.2,2.4,3.2,.759,0.1,0.1,1.000,2.4,3.1,.755,.769,0.7,1.5,.462,1.6,4.6,6.2,1.0,0.2,0.7,1.4,1.8,5.6,jordade01
233,Cory Joseph,PG,31,DET,18,2,14.1,1.8,4.3,.429,0.6,1.6,.379,1.2,2.7,.458,.500,0.5,0.8,.643,0.3,0.6,0.9,2.8,0.3,0.1,0.4,1.6,4.8,josepco01
234,Nikola Jović,PF,19,MIA,10,6,16.0,2.1,5.3,.396,0.5,2.5,.200,1.6,2.8,.571,.443,1.8,1.9,.947,0.7,1.9,2.6,1.0,0.6,0.1,0.8,1.2,6.5,jovicni01
235,Mfiondu Kabengele,PF,25,BOS,1,0,8.0,1.0,2.0,.500,0.0,1.0,.000,1.0,1.0,1.000,.500,0.0,0.0,,3.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,kabenmf01
236,Frank Kaminsky,C,29,ATL,10,0,6.1,0.7,1.2,.583,0.3,0.6,.500,0.4,0.6,.667,.708,0.4,0.4,1.000,0.0,1.2,1.2,0.6,0.0,0.0,0.3,1.0,2.1,kaminfr01
237,Trevor Keels,SG,19,NYK,1,0,1.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,keelstr01
238,Luke Kennard,SG,26,LAC,14,7,21.3,2.9,5.7,.513,1.6,3.4,.479,1.3,2.3,.563,.656,0.2,0.2,1.000,0.3,2.6,2.9,0.6,0.6,0.0,1.1,1.4,7.7,kennalu01
239,Walker Kessler,C,21,UTA,21,0,15.3,2.1,3.0,.714,0.0,0.0,,2.1,3.0,.714,.714,0.7,1.4,.517,2.0,2.9,4.9,0.6,0.2,1.6,0.7,1.9,5.0,kesslwa01
